Designator,Footprint,Quantity,Value,LCSC Part #
"BNC1, BNC2",BNC Connector 2.0,2,3GHz,
"C1, C10, C11, C12, C16, C2, C21, C23, C24, C26, C27, C28, C3, C30, C31, C32, C34, C36, C37, C38, C4, C40, C41, C42, C45, C47, C5, C6, C7, C8, C9",0402,31,0.1uF,
"C13, C18",0603,2,4.7uF,
"C14, C19, C20",0603,3,2.2uF,
"C15, C22, C44",0603,3,1uF,
"C17, C46",0603,2,10uF,
"C25, C35",1206,2,100nF,
"C29, C39",0603,2,5pF,
"C33, C43",0603,2,330p,
"D1, D2",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR ESD,2,Diode Array,
FB1,L0603 (Ferrite Bead),1,FerriteBead,
H1,Debug Header,1,Debug Header,
LED1,PSU LED,1,PSU LED,
MCU1,LPC4370,1,LPC4370FET100E,
NEOPIXEL1,Neopixel,1,LED1,
"R1, R10, R11, R12, R13, R4, R6, R7, R9",0402,9,10k,
R14,0603,1,75k,
R15,0603,1,200k,
R16,0603,1,68k,
R17,0603,1,24k,
"R18, R30",0603,2,390,
"R19, R31",0603,2,1.2k,
"R20, R32",0603,2,3.9k,
"R21, R33",0603,2,470,
"R22, R34, R44",0603,3,100,
"R23, R35",1206,2,1M,
"R24, R36",0805,2,2k,
"R25, R26, R27, R28, R37, R38, R39, R40, RF1, RF2",0603,10,1k,
"R29, R41",0603,2,47,
"R42, R43",0603,2,5.1k,
R8,0603,1,12k,
"SW1, SW2",KEY-SMD,2,Push Button,
"TP1, TP11, TP12, TP15, TP2, TP3, TP5, TP6",TestPoint_Pad_1.0x1.0mm,8,TestPoint,
TP10,TestPoint_Pad_1.0x1.0mm,1,CH2_SEL2,
TP13,TestPoint_Pad_1.0x1.0mm,1,CH1_SEL3,
TP14,TestPoint_Pad_1.0x1.0mm,1,CH2_SEL3,
TP16,TestPoint_Pad_1.0x1.0mm,1,CH2_SELSSR,
TP18,TestPoint_Pad_1.0x1.0mm,1,CH1_SEL4,
TP19,TestPoint_Pad_1.0x1.0mm,1,CH2_SEL4,
TP7,TestPoint_Pad_1.0x1.0mm,1,CH1_SEL1,
TP8,TestPoint_Pad_1.0x1.0mm,1,CH2_SEL1,
TP9,TestPoint_Pad_1.0x1.0mm,1,CH1_SEL2,
U1,Flash Memory,1,Flash,
"U10, U13, U14, U15, U8, U9",DBV5-OPAMP,6,OPA356AIDBVR,
"U11, U6",VSON-4_L1.5-W2.5-P0.80-BL-DCAC-SWITCH,2,TLP3441TP_F,
"U12, U7",TSSOP20_PW_TEX-MUX,2,TMUX1134PWR,
U2,OSC-SMD_4P-L2.5-W2.0-BL (Oscillator2.0),1,12MHz,
U3,SOT-223-6_L6.5-W3.5-P1.27-BL (LDO2.0),1,LDO,
U4,WSON-12_L3.0-W2.0-P0.50-BL-EP (Charge Pump),1,LM27762DSSR,
U5,UJ_6_ADI,1,ADR130BUJZ-REEL7,
USB2,USB2.0,1,USB1,
